Starting program: /w/home.05/be/ugrad/khachatr/CS33/smashing_lab/sthttpd-2.27.0/src/thttpd-no -C config.txt
[Thread debugging using libthread_db enabled]
Using host libthread_db library "/lib64/libthread_db.so.1".

Program received signal SIGSEGV, Segmentation fault.
0x0000000000404d9f in read_config (filename=<optimized out>)
    at thttpd.c:1190
1190	    }
rax            0x0	0
rbx            0x6c5f74696c65765f	7809088275022706271
rcx            0x617000	6385664
rdx            0x7ffff79957b8	140737347409848
rsi            0x0	0
rdi            0x7ffff7995760	140737347409760
rbp            0x68505f2e6d65726f	0x68505f2e6d65726f
rsp            0x7fffffffd098	0x7fffffffd098
r8             0x1	1
r9             0x7ffff7fd0740	140737353942848
r10            0x7fffffffcd80	140737488342400
r11            0x206	518
r12            0x5f73756c6c657361	6877970164460385121
r13            0x74696c65765f696d	8388354963987720557
r14            0x6469636e69745f2c	7235423602214199084
r15            0x2	2
rip            0x404d9f	0x404d9f <read_config+1215>
eflags         0x10202	[ IF RF ]
cs             0x33	51
ss             0x2b	43
ds             0x0	0
es             0x0	0
fs             0x0	0
gs             0x0	0
#0  0x0000000000404d9f in read_config (filename=<optimized out>)
    at thttpd.c:1190
#1  0x635f74755f746e75 in ?? ()
#2  0x7465746365736e6f in ?? ()
#3  0x5f2c63656e5f7275 in ?? ()
#4  0x61757165736e6f63 in ?? ()
#5  0x645f736975715f74 in ?? ()
#6  0x72505f2e65756775 in ?? ()
#7  0x6e5f746e65736561 in ?? ()
#8  0x7369725f65757165 in ?? ()
#9  0x736e6f635f2c7375 in ?? ()
#10 0x65735f7461757165 in ?? ()
#11 0x6c61766e6f635f64 in ?? ()
#12 0x615f2c625f73696c in ?? ()
#13 0x6c705f726f746375 in ?? ()
#14 0x655f746172656361 in ?? ()
#15 0x696f72505f2e7473 in ?? ()
#16 0x6f6c5f6e6f6e5f6e in ?? ()
#17 0x635f736974726f62 in ?? ()
#18 0x6c6f735f2c756372 in ?? ()
#19 0x696475746963696c in ?? ()
#20 0x6572646e65685f6e in ?? ()
#21 0x6c6c756e5f746972 in ?? ()
#22 0x62617275435f2e61 in ?? ()
#23 0x6465735f72757469 in ?? ()
#24 0x617074756c6f765f in ?? ()
#25 0x2e657571656e5f74 in ?? ()
#26 0x615f63656e6f445f in ?? ()
#27 0x2c6d65735f65746e in ?? ()
#28 0x746e656d656c655f in ?? ()
#29 0x665f6465735f6d75 in ?? ()
#30 0x2c6e695f73696c65 in ?? ()
#31 0x697474696761735f in ?? ()
#32 0x6e656d656c655f73 in ?? ()
#33 0x5f2e696d5f6d7574 in ?? ()
#34 0x65746e656c6c6550 in ?? ()
#35 0x6465735f65757173 in ?? ()
#36 0x5f73756c6c65745f in ?? ()
#37 0x4e5f2e737563616c in ?? ()
#38 0x5f6c65765f636e75 in ?? ()
#39 0x5f7469646e616c62 in ?? ()
#40 0x75655f2c736f7265 in ?? ()
#41 0x6974726f626f6c5f in ?? ()
#42 0x532e74696c655f73 in ?? ()
#43 0x6e6963616c5f6465 in ?? ()
Quit
Dump of assembler code for function read_config:
   0x00000000004048e0 <+0>:	push   %r14
   0x00000000004048e2 <+2>:	push   %r13
   0x00000000004048e4 <+4>:	mov    $0x40ec8d,%esi
   0x00000000004048e9 <+9>:	push   %r12
   0x00000000004048eb <+11>:	push   %rbp
   0x00000000004048ec <+12>:	push   %rbx
   0x00000000004048ed <+13>:	mov    %rdi,%rbx
   0x00000000004048f0 <+16>:	sub    $0x70,%rsp
   0x00000000004048f4 <+20>:	callq  0x402830 <fopen@plt>
   0x00000000004048f9 <+25>:	test   %rax,%rax
   0x00000000004048fc <+28>:	je     0x404e7c <read_config+1436>
   0x0000000000404902 <+34>:	mov    %rax,%r12
   0x0000000000404905 <+37>:	movabs $0x100002600,%r14
   0x000000000040490f <+47>:	mov    %r12,%rdx
   0x0000000000404912 <+50>:	mov    $0x3e8,%esi
   0x0000000000404917 <+55>:	mov    %rsp,%rdi
   0x000000000040491a <+58>:	callq  0x4025a0 <fgets@plt>
   0x000000000040491f <+63>:	test   %rax,%rax
   0x0000000000404922 <+66>:	je     0x404d8b <read_config+1195>
   0x0000000000404928 <+72>:	mov    $0x23,%esi
   0x000000000040492d <+77>:	mov    %rsp,%rdi
   0x0000000000404930 <+80>:	callq  0x402480 <strchr@plt>
   0x0000000000404935 <+85>:	test   %rax,%rax
   0x0000000000404938 <+88>:	je     0x40493d <read_config+93>
   0x000000000040493a <+90>:	movb   $0x0,(%rax)
   0x000000000040493d <+93>:	mov    $0x40ebab,%esi
   0x0000000000404942 <+98>:	mov    %rsp,%rdi
   0x0000000000404945 <+101>:	callq  0x402550 <strspn@plt>
   0x000000000040494a <+106>:	lea    (%rsp,%rax,1),%rbp
   0x000000000040494e <+110>:	cmpb   $0x0,0x0(%rbp)
   0x0000000000404952 <+114>:	jne    0x404beb <read_config+779>
   0x0000000000404958 <+120>:	jmp    0x40490f <read_config+47>
   0x000000000040495a <+122>:	nopw   0x0(%rax,%rax,1)
   0x0000000000404960 <+128>:	mov    $0x3d,%esi
   0x0000000000404965 <+133>:	mov    %rbp,%rdi
   0x0000000000404968 <+136>:	callq  0x402480 <strchr@plt>
   0x000000000040496d <+141>:	test   %rax,%rax
   0x0000000000404970 <+144>:	je     0x404c6d <read_config+909>
   0x0000000000404976 <+150>:	lea    0x1(%rax),%r13
   0x000000000040497a <+154>:	movb   $0x0,(%rax)
   0x000000000040497d <+157>:	mov    $0x40ebb0,%esi
   0x0000000000404982 <+162>:	mov    %rbp,%rdi
   0x0000000000404985 <+165>:	callq  0x4022b0 <strcasecmp@plt>
   0x000000000040498a <+170>:	test   %eax,%eax
   0x000000000040498c <+172>:	je     0x404c37 <read_config+855>
   0x0000000000404992 <+178>:	mov    $0x40ebb6,%esi
   0x0000000000404997 <+183>:	mov    %rbp,%rdi
   0x000000000040499a <+186>:	callq  0x4022b0 <strcasecmp@plt>
   0x000000000040499f <+191>:	test   %eax,%eax
   0x00000000004049a1 <+193>:	je     0x404c4e <read_config+878>
   0x00000000004049a7 <+199>:	mov    $0x40ebc9,%esi
   0x00000000004049ac <+204>:	mov    %rbp,%rdi
   0x00000000004049af <+207>:	callq  0x4022b0 <strcasecmp@plt>
   0x00000000004049b4 <+212>:	test   %eax,%eax
   0x00000000004049b6 <+214>:	je     0x404c75 <read_config+917>
   0x00000000004049bc <+220>:	mov    $0x40ebbd,%esi
   0x00000000004049c1 <+225>:	mov    %rbp,%rdi
   0x00000000004049c4 <+228>:	callq  0x4022b0 <strcasecmp@plt>
   0x00000000004049c9 <+233>:	test   %eax,%eax
   0x00000000004049cb <+235>:	je     0x404c94 <read_config+948>
   0x00000000004049d1 <+241>:	mov    $0x40ebbb,%esi
   0x00000000004049d6 <+246>:	mov    %rbp,%rdi
   0x00000000004049d9 <+249>:	callq  0x4022b0 <strcasecmp@plt>
   0x00000000004049de <+254>:	test   %eax,%eax
   0x00000000004049e0 <+256>:	je     0x404cb8 <read_config+984>
   0x00000000004049e6 <+262>:	mov    $0x40ebc4,%esi
   0x00000000004049eb <+267>:	mov    %rbp,%rdi
   0x00000000004049ee <+270>:	callq  0x4022b0 <strcasecmp@plt>
   0x00000000004049f3 <+275>:	test   %eax,%eax
   0x00000000004049f5 <+277>:	je     0x404cf6 <read_config+1046>
   0x00000000004049fb <+283>:	mov    $0x40ebcf,%esi
   0x0000000000404a00 <+288>:	mov    %rbp,%rdi
   0x0000000000404a03 <+291>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a08 <+296>:	test   %eax,%eax
   0x0000000000404a0a <+298>:	je     0x404cdc <read_config+1020>
   0x0000000000404a10 <+304>:	mov    $0x40ebcd,%esi
   0x0000000000404a15 <+309>:	mov    %rbp,%rdi
   0x0000000000404a18 <+312>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a1d <+317>:	test   %eax,%eax
   0x0000000000404a1f <+319>:	je     0x404d15 <read_config+1077>
   0x0000000000404a25 <+325>:	mov    $0x40ebd9,%esi
   0x0000000000404a2a <+330>:	mov    %rbp,%rdi
   0x0000000000404a2d <+333>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a32 <+338>:	test   %eax,%eax
   0x0000000000404a34 <+340>:	je     0x404cdc <read_config+1020>
   0x0000000000404a3a <+346>:	mov    $0x40ebd7,%esi
   0x0000000000404a3f <+351>:	mov    %rbp,%rdi
   0x0000000000404a42 <+354>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a47 <+359>:	test   %eax,%eax
   0x0000000000404a49 <+361>:	je     0x404d15 <read_config+1077>
   0x0000000000404a4f <+367>:	mov    $0x40ebe2,%esi
   0x0000000000404a54 <+372>:	mov    %rbp,%rdi
   0x0000000000404a57 <+375>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a5c <+380>:	test   %eax,%eax
   0x0000000000404a5e <+382>:	je     0x404d2f <read_config+1103>
   0x0000000000404a64 <+388>:	mov    $0x40ebe7,%esi
   0x0000000000404a69 <+393>:	mov    %rbp,%rdi
   0x0000000000404a6c <+396>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a71 <+401>:	test   %eax,%eax
   0x0000000000404a73 <+403>:	je     0x404d6c <read_config+1164>
   0x0000000000404a79 <+409>:	mov    $0x40ebee,%esi
   0x0000000000404a7e <+414>:	mov    %rbp,%rdi
   0x0000000000404a81 <+417>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a86 <+422>:	test   %eax,%eax
   0x0000000000404a88 <+424>:	je     0x404d4e <read_config+1134>
   0x0000000000404a8e <+430>:	mov    $0x40ebf7,%esi
   0x0000000000404a93 <+435>:	mov    %rbp,%rdi
   0x0000000000404a96 <+438>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404a9b <+443>:	test   %eax,%eax
   0x0000000000404a9d <+445>:	je     0x404dba <read_config+1242>
   0x0000000000404aa3 <+451>:	mov    $0x40ebfe,%esi
   0x0000000000404aa8 <+456>:	mov    %rbp,%rdi
   0x0000000000404aab <+459>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404ab0 <+464>:	test   %eax,%eax
   0x0000000000404ab2 <+466>:	je     0x404da0 <read_config+1216>
   0x0000000000404ab8 <+472>:	mov    $0x40ec0e,%esi
   0x0000000000404abd <+477>:	mov    %rbp,%rdi
   0x0000000000404ac0 <+480>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404ac5 <+485>:	test   %eax,%eax
   0x0000000000404ac7 <+487>:	je     0x404dd9 <read_config+1273>
   0x0000000000404acd <+493>:	mov    $0x40ec17,%esi
   0x0000000000404ad2 <+498>:	mov    %rbp,%rdi
   0x0000000000404ad5 <+501>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404ada <+506>:	test   %eax,%eax
   0x0000000000404adc <+508>:	je     0x404e8e <read_config+1454>
   0x0000000000404ae2 <+514>:	mov    $0x40f0f7,%esi
   0x0000000000404ae7 <+519>:	mov    %rbp,%rdi
   0x0000000000404aea <+522>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404aef <+527>:	test   %eax,%eax
   0x0000000000404af1 <+529>:	je     0x404ecc <read_config+1516>
   0x0000000000404af7 <+535>:	mov    $0x40ed00,%esi
   0x0000000000404afc <+540>:	mov    %rbp,%rdi
   0x0000000000404aff <+543>:	callq  0x4022b0 <strcasecmp@plt>
   0x0000000000404b04 <+548>:	test   %eax,%eax
